Title,Year,Genres,Runtime,Rating,Metascore,Votes,Gross,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
Some Like It Hot,1959.0,"['Comedy', 'Music', 'Romance']",120.0,8.3,,175696.0,25000000.0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
The Girl with the Dragon Tattoo,2009.0,"['Crime', 'Drama', 'Mystery']",152.0,7.8,76.0,175075.0,10100000.0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
G.I. Joe: The Rise of Cobra,2009.0,"['Action', 'Adventure', 'Sci-Fi']",118.0,5.8,32.0,174877.0,150170000.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Finding Neverland,2004.0,"['Biography', 'Drama', 'Family']",106.0,7.8,67.0,174845.0,51680000.0,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Body of Lies,2008.0,"['Action', 'Drama', 'Thriller']",128.0,7.1,57.0,174597.0,39380000.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
The Lincoln Lawyer,2011.0,"['Crime', 'Drama', 'Thriller']",118.0,7.3,63.0,174229.0,57980000.0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Amores Perros,2000.0,"['Drama', 'Thriller']",154.0,8.1,83.0,173962.0,5380000.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Gangster Squad,2013.0,"['Action', 'Crime', 'Drama']",113.0,6.7,40.0,173926.0,46000000.0,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Chappie,2015.0,"['Action', 'Crime', 'Drama']",120.0,6.9,41.0,173790.0,31570000.0,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Natural Born Killers,1994.0,"['Crime', 'Drama']",118.0,7.3,74.0,173632.0,50280000.0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Let the Right One In,2008.0,"['Drama', 'Horror']",115.0,8.0,82.0,173617.0,2120000.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Megamind,2010.0,"['Animation', 'Action', 'Comedy']",95.0,7.3,63.0,173420.0,148340000.0,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Just Go with It,2011.0,"['Comedy', 'Romance']",117.0,6.4,33.0,173412.0,103030000.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
My Neighbor Totoro,1988.0,"['Animation', 'Family', 'Fantasy']",86.0,8.2,,173281.0,,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
Silent Hill,2006.0,"['Adventure', 'Horror', 'Mystery']",125.0,6.6,30.0,173248.0,46980000.0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
Transcendence,2014.0,"['Drama', 'Mystery', 'Romance']",119.0,6.3,42.0,173246.0,23010000.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False
First Blood,1982.0,"['Action', 'Adventure', 'Drama']",93.0,7.7,62.0,172972.0,,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bad Boys,1995.0,"['Action', 'Comedy', 'Crime']",119.0,6.8,41.0,172950.0,65810000.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mars Attacks!,1996.0,"['Action', 'Comedy', 'Sci-Fi']",106.0,6.3,52.0,172602.0,37750000.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Mulan,1998.0,"['Animation', 'Adventure', 'Family']",88.0,7.5,71.0,172578.0,120620000.0,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Cowboys & Aliens,2011.0,"['Action', 'Sci-Fi', 'Thriller']",119.0,6.0,50.0,172558.0,100220000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
Chicago,2002.0,"['Comedy', 'Crime', 'Musical']",113.0,7.2,82.0,172450.0,170680000.0,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
American Reunion,2012.0,['Comedy'],113.0,6.7,49.0,172444.0,56720000.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
What's Eating Gilbert Grape,1993.0,"['Drama', 'Romance']",118.0,7.8,,172282.0,9170000.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Gandhi,1982.0,"['Biography', 'Drama', 'History']",191.0,8.1,,172231.0,,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Bridget Jones's Diary,2001.0,"['Comedy', 'Drama', 'Romance']",97.0,6.7,66.0,172015.0,71500000.0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Predators,2010.0,"['Action', 'Adventure', 'Sci-Fi']",107.0,6.4,51.0,171754.0,52000000.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
The Girl Next Door,2004.0,"['Comedy', 'Drama', 'Romance']",108.0,6.8,47.0,171479.0,14590000.0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Anger Management,2003.0,['Comedy'],106.0,6.2,52.0,171380.0,133759999.99999999,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jagten,2012.0,['Drama'],115.0,8.3,76.0,171090.0,610000.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Traffic,2000.0,"['Crime', 'Drama', 'Thriller']",147.0,7.6,86.0,170945.0,124110000.0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
The Little Mermaid,1989.0,"['Animation', 'Family', 'Fantasy']",83.0,7.6,,170904.0,109860000.0,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
Spy,2015.0,"['Action', 'Comedy', 'Crime']",119.0,7.1,75.0,170778.0,110820000.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Alien: Resurrection,1997.0,"['Action', 'Horror', 'Sci-Fi']",109.0,6.3,63.0,170713.0,47750000.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
Grease,1978.0,"['Musical', 'Romance']",110.0,7.2,70.0,170560.0,181360000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
Die Another Day,2002.0,"['Action', 'Adventure', 'Thriller']",133.0,6.1,56.0,170195.0,160200000.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Meet Joe Black,1998.0,"['Drama', 'Fantasy', 'Romance']",178.0,7.1,43.0,169406.0,44610000.0,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False
No Strings Attached,2011.0,"['Comedy', 'Romance']",108.0,6.2,50.0,169222.0,70630000.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Yip Man,2008.0,"['Action', 'Biography', 'Drama']",106.0,8.1,59.0,169049.0,,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Before Sunset,2004.0,"['Drama', 'Romance']",80.0,8.0,90.0,168886.0,5790000.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Das Boot,1981.0,"['Adventure', 'Drama', 'Thriller']",149.0,8.4,86.0,168680.0,11430000.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Closer,2004.0,"['Drama', 'Romance']",104.0,7.3,65.0,168605.0,33990000.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Master and Commander: The Far Side of the World,2003.0,"['Action', 'Adventure', 'Drama']",138.0,7.4,81.0,168557.0,93930000.0,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
